Député,Parti.politique,Région,Nombre.de.voix,Rang.dans.la.liste,Age,Profession,Bloc
Lamia Mlayah,Mouvement Nidaa Tounes,Amérique et reste de l'Europe,7068,1,39,Chercheur universitaire,Mouvement Nidaa Tounes
Latifa Habachi,Mouvement Ennahdha,La Manouba,33064,2,45,Avocat,Mouvement Ennahdha
Leila ِChettaoui Bougatef,Mouvement Nidaa Tounes,Tunis 2,115045,4,51,Cadre supérieur dans le secteur privé,Bloc Al Horra du Mouvement Machrouu Tounes
Leila Hamrouni,Mouvement Nidaa Tounes,Ariana,82769,2,57,Chercheur universitaire,Bloc National
Leila Oueslati,Mouvement Ennahdha,Mahdia,24865,2,53,Enseignant du secondaire,Mouvement Ennahdha
Leila Ouled Ali,Mouvement Nidaa Tounes,Tunis 1,60295,1,53,Cadre supérieur dans la fonction publique,Bloc National
Leila Zahaf,Mouvement Nidaa Tounes,Zaghouan,18216,2,59,Enseignant universitaire,Bloc Al Horra du Mouvement Machrouu Tounes
Lilia Younes Ksibi,Afek Tounes et l'appel des tunisiens à l'étranger,Nabeul 1,7135,2,0,,Aucun bloc
Lotfi Ali,Bloc Social-Démocrate,Gafsa,4623,1,52,Chef d'entreprise,Mouvement Nidaa Tounes
Lotfi Nabli,Mouvement Nidaa Tounes,Monastir,104221,5,61,Enseignant universitaire,Mouvement Nidaa Tounes
Mabrouk Hrizi,Bloc Démocrate,Kasserine,2938,1,41,Non catégorisé,Bloc Démocrate
Mahbouba Ben Dhifallah,Mouvement Ennahdha,Kebili,21944,2,48,Cadre supérieur dans la fonction publique,Mouvement Ennahdha
Maher Madhioub,Mouvement Ennahdha,Pays arabes et reste du monde,4333,1,54,Journaliste,Mouvement Ennahdha
